"Continent ID","Continent","Country ID","Country","ISO 3","Section ID","Section","HS2 ID","HS2","HS4 ID","HS4","Trade Value"
"na","North America","namsr","Montserrat","msr",11,"Textiles",1162,"Non-knit or crocheted apparel and clothing accessories",116210,"Felt or Coated Fabric Garments",1683473
"na","North America","nanic","Nicaragua","nic",14,"Precious Metals",1471,"Precious metals, gems and jewelry",147108,"Gold",827728661
"na","North America","napan","Panama","pan",5,"Mineral Products",526,"Ores, slag and ash",52603,"Copper Ore",1054906169
"na","North America","naslv","El Salvador","slv",11,"Textiles",1161,"Knitted or crocheted apparel and clothing accessories",116109,"Knit T-shirts",573391587
"na","North America","naspm","Saint Pierre and Miquelon","spm",4,"Foodstuffs",416,"Meat, fish or crustaceans, molluscs or other aquatic invertebrates",41605,"Processed Crustaceans",4267288
"na","North America","natca","Turks and Caicos Islands","tca",1,"Animal Products",103,"Fish and crustaceans, molluscs and other aquatic invertebrates",10306,"Crustaceans",1337350
"na","North America","natto","Trinidad and Tobago","tto",5,"Mineral Products",527,"Mineral fuels, mineral oils and products of their distillation",52711,"Petroleum Gas",2136875128
"na","North America","nausa","United States","usa",5,"Mineral Products",527,"Mineral fuels, mineral oils and products of their distillation",52710,"Refined Petroleum",58381616035
"na","North America","navct","Saint Vincent and the Grenadines","vct",5,"Mineral Products",527,"Mineral fuels, mineral oils and products of their distillation",52711,"Petroleum Gas",54184567
"na","North America","navgb","British Virgin Islands","vgb",17,"Transportation",1789,"Ships, boats and floating structures",178903,"Recreational Boats",634052469
"oc","Oceania","ocasm","American Samoa","asm",4,"Foodstuffs",423,"Food industries, residues and wastes thereof; prepared animal fodder",42301,"Animal Meal and Pellets",11946899
"oc","Oceania","ocaus","Australia","aus",5,"Mineral Products",526,"Ores, slag and ash",52601,"Iron Ore",79583366512
"oc","Oceania","occok","Cook Islands","cok",1,"Animal Products",103,"Fish and crustaceans, molluscs and other aquatic invertebrates",10303,"Non-fillet Frozen Fish",15600881
"oc","Oceania","ocfji","Fiji","fji",4,"Foodstuffs",422,"Beverages, spirits and vinegar",42201,"Water",126803737
"oc","Oceania","ocfsm","Micronesia","fsm",1,"Animal Products",103,"Fish and crustaceans, molluscs and other aquatic invertebrates",10303,"Non-fillet Frozen Fish",115978232
"oc","Oceania","ocgum","Guam","gum",18,"Instruments",1891,"Clocks and watches",189102,"Base Metal Watches",8484052
"oc","Oceania","ockir","Kiribati","kir",1,"Animal Products",103,"Fish and crustaceans, molluscs and other aquatic invertebrates",10303,"Non-fillet Frozen Fish",85882078
"oc","Oceania","ocmhl","Marshall Islands","mhl",17,"Transportation",1789,"Ships, boats and floating structures",178901,"Passenger and Cargo Ships",314312687
"oc","Oceania","ocmnp","Northern Mariana Islands","mnp",18,"Instruments",1891,"Clocks and watches",189102,"Base Metal Watches",2750879
"oc","Oceania","ocncl","New Caledonia","ncl",15,"Metals",1572,"Iron and steel",157202,"Ferroalloys",824906514
"oc","Oceania","ocnfk","Norfolk Island","nfk",9,"Wood Products",944,"Wood and articles of wood; wood charcoal",94403,"Rough Wood",351879
"oc","Oceania","ocniu","Niue","niu",17,"Transportation",1789,"Ships, boats and floating structures",178901,"Passenger and Cargo Ships",71969487.00000001
"oc","Oceania","ocnru","Nauru","nru",1,"Animal Products",103,"Fish and crustaceans, molluscs and other aquatic invertebrates",10303,"Non-fillet Frozen Fish",82477279
"oc","Oceania","ocnzl","New Zealand","nzl",1,"Animal Products",104,"Dairy products and other edible products of animal origin",10402,"Concentrated Milk",5920643022
"oc","Oceania","ocpcn","Pitcairn Islands","pcn",4,"Foodstuffs",419,"Preparations of cereals, flour, starch or milk; pastrycooks' products",41905,"Baked Goods",495354
"oc","Oceania","ocplw","Palau","plw",17,"Transportation",1789,"Ships, boats and floating structures",178908,"Scrap Vessels",7790385.999999999
"oc","Oceania","ocpng","Papua New Guinea","png",5,"Mineral Products",527,"Mineral fuels, mineral oils and products of their distillation",52711,"Petroleum Gas",2947783618.9999995
"oc","Oceania","ocpyf","French Polynesia","pyf",14,"Precious Metals",1471,"Precious metals, gems and jewelry",147101,"Pearls",32603858
"oc","Oceania","ocslb","Solomon Islands","slb",9,"Wood Products",944,"Wood and articles of wood; wood charcoal",94403,"Rough Wood",310187271.00000006
"oc","Oceania","octkl","Tokelau","tkl",14,"Precious Metals",1471,"Precious metals, gems and jewelry",147106,"Silver",16887625
"oc","Oceania","octon","Tonga","ton",4,"Foodstuffs",420,"Preparations of vegetables, fruit, nuts or other parts of plants",42008,"Other Processed Fruits and Nuts",1570961
